date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:51	110/110	---M-Z	200	added ('OK')	text/plain	date:Thu,%2017%20Jun%202021%2008:55:51%20GMT	http://localhost:8180/robots.txt		(from )
14:25:52	42731/42731	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jun%202021%2008:55:51%20GMT	http://localhost:8180/	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/index.html	(from )
14:25:52	58171/58171	---M-Z	200	added ('OK')	text/css	etag:%22e33b-5c46afabfbb00-gzip%22	http://localhost:8180/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-includes/css/dist/block-library/style.min9f31.css	(from http://localhost:8180/)
14:25:52	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22a9a-5c46afabfbb00-gzip%22	http://localhost:8180/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-includes/css/dist/block-library/theme.min9f31.css	(from http://localhost:8180/)
14:25:53	155185/155185	---M-Z	200	added ('OK')	text/css	etag:%2225e31-5c4e61e9872b6-gzip%22	http://localhost:8180/wp-content/themes/twentytwentyone/style.css?ver=1.3	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-content/themes/twentytwentyone/style4e44.css	(from http://localhost:8180/)
14:25:53	2897/2897	---M-Z	200	added ('OK')	text/css	etag:%22b51-5c4e61e980556-gzip%22	http://localhost:8180/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.3	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-content/themes/twentytwentyone/assets/css/print4e44.css	(from http://localhost:8180/)
14:25:53	2172/2172	---M-Z	200	added ('OK')	application/rss+xml	etag:%2202431863ece0e6e6d34223a5d176edb2-gzip%22	http://localhost:8180/comments/feed/	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/comments/feed/index.html	(from http://localhost:8180/)
14:25:54	9170/9170	---M-Z	200	added ('OK')	application/javascript	etag:%2223d2-5c4e61e828186-gzip%22	http://localhost:8180/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=7.17.0	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min3db5.js	(from http://localhost:8180/)
14:25:54	792/792	---M-Z	200	added ('OK')	text/xml	date:Thu,%2017%20Jun%202021%2008:55:54%20GMT	http://localhost:8180/xmlrpc.php?rsd	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/xmlrpc0db0.php	(from http://localhost:8180/)
14:25:54	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5c46afabfbb00%22	http://localhost:8180/wp-includes/wlwmanifest.xml	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-includes/wlwmanifest.xml	(from http://localhost:8180/)
14:25:54	1057/1057	---M-Z	200	added ('OK')	application/javascript	etag:%22421-5c4e61e981cc6-gzip%22	http://localhost:8180/wp-content/themes/twentytwentyone/assets/js/polyfills.js?ver=1.3	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-content/themes/twentytwentyone/assets/js/polyfills4e44.js	(from http://localhost:8180/)
14:25:55	1127/1127	---M-Z	200	added ('OK')	application/javascript	etag:%22467-5c4e61e9820ae-gzip%22	http://localhost:8180/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.3	C:/Users/310231618/Pictures/backwpup/Sciloo/localhost_8180/wp-content/themes/twentytwentyone/assets/js/responsive-embeds4e44.js	(from http://localhost:8180/)
